,tractID,coeffType,coeff_GM,se,intercept,r2,adjustR2,aic,pvals
0,AFL,3,0.0318300644926079,0.001,-0.08482822678586359,0.644,0.643,-647.2,1.01e-62
1,AFR,3,0.033178384819424186,0.002,-0.07887931903543707,0.601,0.6,-574.9,4.83e-56
2,ATRL,3,0.02336753973447306,0.002,0.23146098514616448,0.462,0.46,-612.9,2.18e-38
3,ATRR,3,0.020651567995151856,0.002,0.36740053862503713,0.379,0.376,-586.5,7.72e-30
4,CCL,3,0.029786067937995778,0.001,0.04878283243279416,0.635,0.634,-672.9,2.94e-61
5,CCR,3,0.02844866547210226,0.002,0.08269615948636992,0.53,0.528,-579.6,2.42e-46
6,CSL,3,0.044922142511252684,0.002,-0.4279056440952612,0.708,0.707,-539.6,1.77e-74
7,CSR,3,0.042868736747680214,0.002,-0.3324687655239625,0.671,0.669,-516.9,2.7099999999999998e-67
8,FcMa,3,0.02712701665466296,0.002,0.09543614149415884,0.442,0.44,-509.0,3.46e-36
9,FcMi,3,0.020491644397241788,0.002,0.35830093600058427,0.389,0.387,-602.8,7.630000000000001e-31
10,IFOFL,3,0.02698286289824738,0.002,0.10459599016584098,0.514,0.513,-591.3,2.13e-44
11,IFOFR,3,0.024174392493964626,0.001,0.2310385755301693,0.493,0.491,-628.3,6.769999999999999e-42
12,ILFL,3,0.02914317721333284,0.002,-0.0032763759236527842,0.563,0.561,-602.6,1.29e-50
13,ILFR,3,0.026782970636899606,0.002,0.1094573345475539,0.541,0.539,-624.0,1.13e-47
14,MLFL,3,0.02484381474162427,0.001,0.13107244897883305,0.559,0.558,-685.8,3.9e-50
15,MLFR,3,0.0275396241047264,0.002,0.07850104269110687,0.551,0.55,-620.6,4.64e-49
16,ORL,3,0.03797426594630633,0.003,-0.21691809109439386,0.459,0.457,-343.7,5.59e-38
17,ORR,3,0.04007291582684731,0.003,-0.2764467916954399,0.48,0.478,-337.6,2.41e-40
18,SLFL,3,0.03468034044215318,0.002,-0.13477303538515423,0.663,0.662,-623.0,6.45e-66
19,SLFR,3,0.03460147222283302,0.002,-0.11397493233542427,0.652,0.651,-611.6,4.1500000000000005e-64
20,UNCL,3,0.02833703158924492,0.001,0.023660834022560473,0.619,0.617,-680.8,1.19e-58
21,UNCR,3,0.029937090193782667,0.002,0.022017177332544352,0.57,0.568,-595.4,1.58e-51
22,VOFL,3,0.026454963072969368,0.002,0.11451436651366274,0.421,0.419,-499.3,5.359999999999999e-34
23,VOFR,3,0.030732494206494633,0.002,-0.006297545256984313,0.472,0.47,-474.3,1.7e-39
24,pARCL,3,0.024469403390239036,0.001,0.11845227521669548,0.517,0.515,-647.5,1.02e-44
25,pARCR,3,0.026068780966614687,0.002,0.06315297034425017,0.517,0.515,-612.5,1.14e-44
