,tractID,coeffType,coeff,se,intercept,r2,adjustR2,aic,pvals
0,AFL,3,0.035888580227162306,0.002,-0.6692444932223122,0.496,0.494,-415.5,3.2599999999999995e-42
1,AFR,3,0.03410560019390384,0.002,-0.6102564673925361,0.494,0.492,-441.0,5.88e-42
2,ATRL,3,0.044806623039911855,0.002,-0.7317318565900435,0.664,0.662,-484.3,4.4e-66
3,ATRR,3,0.04688157874277986,0.002,-0.8216903645425314,0.668,0.667,-465.0,7.289999999999999e-67
4,CCL,3,0.023879394516422535,0.002,-0.18989859715318547,0.475,0.473,-615.4,7.789999999999999e-40
5,CCR,3,0.024372580617033766,0.002,-0.22031233576470624,0.401,0.399,-521.5,5.44e-32
6,CSL,3,0.0857707228068334,0.003,-1.96355571338587,0.771,0.77,-275.0,1.24e-88
7,CSR,3,0.08429416503241274,0.003,-1.9452562396263997,0.752,0.751,-256.4,5.2e-84
8,FcMa,3,0.030477324966839713,0.002,-0.4380187434247482,0.602,0.601,-622.6,3.3000000000000003e-56
9,FcMi,3,0.030149563956753236,0.002,-0.5295326140951115,0.543,0.542,-562.4,5.04e-48
10,IFOFL,3,0.03820163077584971,0.002,-0.7816854274461966,0.68,0.679,-591.8,4.83e-69
11,IFOFR,3,0.03996037150801729,0.002,-0.8408235624331347,0.707,0.706,-601.7,3.35e-74
12,ILFL,3,0.03568441726103069,0.002,-0.7397480098491457,0.641,0.64,-581.5,2.92e-62
13,ILFR,3,0.03703394850537075,0.002,-0.7647838330964641,0.666,0.665,-591.0,1.8600000000000002e-66
14,MLFL,3,0.03665656809502063,0.002,-0.7434721564482027,0.641,0.64,-566.8,2.9099999999999998e-62
15,MLFR,3,0.03846351216603383,0.002,-0.785212439687281,0.678,0.676,-584.8,1.4399999999999999e-68
16,ORL,3,0.04810808785431238,0.002,-1.0017157838808703,0.666,0.665,-448.6,1.59e-66
17,ORR,3,0.0512167186504402,0.002,-1.0955028013200359,0.661,0.66,-408.4,1.15e-65
18,SLFL,3,0.040310470095297805,0.002,-0.8668556165983362,0.575,0.574,-439.5,2.46e-52
19,SLFR,3,0.0395662581363951,0.002,-0.8341638238831539,0.57,0.569,-443.8,1.3e-51
20,UNCL,3,0.03503018832312665,0.001,-0.6084162354407973,0.692,0.691,-654.4,2.67e-71
21,UNCR,3,0.037472255681555114,0.001,-0.71429890888161,0.734,0.733,-673.3,7.06e-80
22,VOFL,3,0.02609958431569963,0.002,-0.4733743530329463,0.525,0.523,-620.8,1.12e-45
23,VOFR,3,0.029090886244589387,0.002,-0.5750350127666836,0.548,0.547,-587.4,1.13e-48
24,pAFL,3,0.020126963189467814,0.001,-0.2784171331442576,0.469,0.467,-702.1,3.7e-39
25,pAFR,3,0.020046294263422325,0.001,-0.2622459460191233,0.461,0.459,-695.1,3.09e-38
