tractID,coeffType,coeff_GM,se,intercept,r2,adjustR2,aic,pvals
AFL,3.0,0.03183006449260789,0.001,-0.08482822678586421,0.644,0.643,-647.2,1.01e-62
AFR,3.0,0.033178384819424186,0.002,-0.07887931903543721,0.601,0.6,-574.9,4.83e-56
ATRL,3.0,0.023367539734473045,0.002,0.23146098514616392,0.462,0.46,-612.9,2.18e-38
ATRR,3.0,0.020651567995151852,0.002,0.36740053862503685,0.379,0.376,-586.5,7.72e-30
CCL,3.0,0.029786067937995788,0.001,0.04878283243279391,0.635,0.634,-672.9,2.94e-61
CCR,3.0,0.028448665472102258,0.002,0.08269615948636999,0.53,0.528,-579.6,2.42e-46
CSL,3.0,0.04492214251125269,0.002,-0.4279056440952618,0.708,0.707,-539.6,1.77e-74
CSR,3.0,0.042868736747680214,0.002,-0.3324687655239632,0.671,0.669,-516.9,2.7099999999999998e-67
FcMa,3.0,0.02712701665466297,0.002,0.09543614149415824,0.442,0.44,-509.0,3.46e-36
FcMi,3.0,0.02049164439724179,0.002,0.3583009360005839,0.389,0.387,-602.8,7.630000000000001e-31
IFOFL,3.0,0.026982862898247372,0.002,0.10459599016584054,0.514,0.513,-591.3,2.13e-44
IFOFR,3.0,0.024174392493964646,0.001,0.23103857553016893,0.493,0.491,-628.3,6.769999999999999e-42
ILFL,3.0,0.029143177213332833,0.002,-0.003276375923653152,0.563,0.561,-602.6,1.29e-50
ILFR,3.0,0.02678297063689961,0.002,0.1094573345475538,0.541,0.539,-624.0,1.13e-47
MLFL,3.0,0.024843814741624268,0.001,0.13107244897883286,0.559,0.558,-685.8,3.9e-50
MLFR,3.0,0.027539624104726393,0.002,0.07850104269110669,0.551,0.55,-620.6,4.64e-49
ORL,3.0,0.03797426594630631,0.003,-0.21691809109439414,0.459,0.457,-343.7,5.59e-38
ORR,3.0,0.0400729158268473,0.003,-0.27644679169544,0.48,0.478,-337.6,2.41e-40
SLFL,3.0,0.03468034044215319,0.002,-0.13477303538515428,0.663,0.662,-623.0,6.45e-66
SLFR,3.0,0.03460147222283301,0.002,-0.1139749323354241,0.652,0.651,-611.6,4.1500000000000005e-64
UNCL,3.0,0.028337031589244915,0.001,0.023660834022559918,0.619,0.617,-680.8,1.19e-58
UNCR,3.0,0.02993709019378268,0.002,0.02201717733254438,0.57,0.568,-595.4,1.58e-51
VOFL,3.0,0.02645496307296937,0.002,0.11451436651366231,0.421,0.419,-499.3,5.359999999999999e-34
VOFR,3.0,0.030732494206494616,0.002,-0.006297545256984782,0.472,0.47,-474.3,1.7e-39
pAFL,3.0,0.02446940339023903,0.001,0.11845227521669499,0.517,0.515,-647.5,1.02e-44
pAFR,3.0,0.026068780966614687,0.002,0.06315297034424994,0.517,0.515,-612.5,1.14e-44
