tractID,coeffType,coeff_GM,se,intercept,r2,adjustR2,aic,pvals
AFL,3.0,0.00285391670169091,0.001,0.32676854233728775,0.33,0.294,-129.6,0.00649
AFR,3.0,0.0029579255324446198,0.001,0.3212794449828862,0.306,0.269,-125.7,0.00935
ATRL,3.0,0.0010959246709479065,0.001,0.4038992041617793,0.043,-0.008,-119.4,0.368
ATRR,3.0,0.0015481237729076114,0.001,0.3830558263028423,0.082,0.033,-119.3,0.209
CCL,3.0,0.0025282118376743056,0.001,0.3433685232814062,0.258,0.218,-127.3,0.0189
CCR,3.0,0.0025292821075970622,0.001,0.3472505173237306,0.273,0.235,-129.0,0.015
CSL,3.0,0.0037250832452617125,0.001,0.3198895603196818,0.415,0.384,-126.1,0.00163
CSR,3.0,0.0036723697305989476,0.001,0.32004827083957504,0.385,0.352,-124.0,0.0027
FcMa,3.0,0.005254783644673834,0.001,0.2257109249889846,0.411,0.38,-111.3,0.00174
FcMi,3.0,0.0013545389669061634,0.001,0.38680206396706046,0.068,0.018,-120.6,0.255
IFOFL,3.0,0.0026427572045650376,0.001,0.3395952973364793,0.199,0.157,-118.5,0.0424
IFOFR,3.0,0.0022850191470597716,0.001,0.3601888752901298,0.214,0.172,-126.4,0.0349
ILFL,3.0,0.0036178061785206144,0.001,0.29693730949469055,0.399,0.368,-125.9,0.00212
ILFR,3.0,0.003783539407472893,0.001,0.2932160488829575,0.445,0.416,-128.0,0.000956
MLFL,3.0,0.00383552634927364,0.001,0.28011397971696117,0.475,0.447,-129.9,0.00055
MLFR,3.0,0.0032255952061593963,0.001,0.30830243351178654,0.391,0.359,-130.0,0.00243
ORL,3.0,0.0031220727332458512,0.002,0.34277971541951713,0.132,0.087,-101.2,0.105
ORR,3.0,0.0037325793800766192,0.002,0.32014891451022687,0.182,0.139,-101.6,0.0538
SLFL,3.0,0.003632895186990526,0.001,0.30052762568622526,0.477,0.449,-132.4,0.000531
SLFR,3.0,0.002871250190120892,0.001,0.33008337611983435,0.261,0.222,-122.3,0.0181
UNCL,3.0,0.0030141783592205554,0.001,0.31507164491800643,0.204,0.162,-113.6,0.0398
UNCR,3.0,0.0020594444075010074,0.001,0.35777163897672387,0.121,0.075,-116.5,0.123
VOFL,3.0,0.003342128409578895,0.001,0.31447841580562075,0.267,0.228,-116.6,0.0165
VOFR,3.0,0.003918988085283626,0.001,0.2962891654119671,0.314,0.278,-114.7,0.00825
pAFL,3.0,0.003216036868242216,0.001,0.30910517299591855,0.362,0.329,-127.6,0.0039
pAFR,3.0,0.0030226524005994362,0.001,0.3210002540885944,0.315,0.279,-125.7,0.00814
