tractID,coeffType,coeff,se,intercept,r2,adjustR2,aic,pvals
AFL,3.0,0.004665764728706483,0.002,0.24140531092200873,0.247,0.207,-100.4,0.022
AFR,3.0,0.003839465839091255,0.002,0.27782035034798286,0.202,0.16,-103.1,0.041
ATRL,3.0,-9.68982788558271e-05,0.001,0.5085026509227467,0.0,-0.052,-113.7,0.944
ATRR,3.0,0.0013760995608340723,0.001,0.44435857140035995,0.056,0.006,-115.7,0.303
CCL,3.0,0.0031595351566320075,0.002,0.28842559913304766,0.119,0.073,-98.2,0.125
CCR,3.0,0.0008125783757744875,0.001,0.3992341676471971,0.02,-0.032,-115.0,0.546
CSL,3.0,0.00541796794339847,0.002,0.3154642917875671,0.369,0.336,-106.3,0.00349
CSR,3.0,0.005612023423840783,0.001,0.30798730478102554,0.47,0.442,-113.5,0.000602
FcMa,3.0,0.003076222335848762,0.002,0.3057495384094772,0.134,0.088,-102.1,0.103
FcMi,3.0,0.0021878931533899307,0.002,0.31418560391603567,0.072,0.023,-101.8,0.241
IFOFL,3.0,0.00312842493263615,0.001,0.32531838504204186,0.233,0.192,-115.5,0.0268
IFOFR,3.0,0.0028151450649537505,0.001,0.34085586647547816,0.258,0.219,-122.8,0.0188
ILFL,3.0,0.0051416676294154095,0.001,0.21536952800513648,0.42,0.389,-113.0,0.00149
ILFR,3.0,0.005005075646936103,0.001,0.22680871266007646,0.551,0.528,-125.2,0.000116
MLFL,3.0,0.005181766098714164,0.001,0.22030909975603463,0.427,0.397,-113.2,0.00132
MLFR,3.0,0.004728776585534125,0.001,0.24069463052160223,0.457,0.428,-119.6,0.00077
ORL,3.0,0.0055812253061848695,0.002,0.218841342768759,0.32,0.285,-100.5,0.00749
ORR,3.0,0.0068740243553250535,0.002,0.1645680552167773,0.398,0.366,-98.85,0.00217
SLFL,3.0,0.005276173518956338,0.002,0.23235544918257317,0.354,0.32,-106.0,0.00445
SLFR,3.0,0.004499862899218016,0.002,0.25966564334369274,0.275,0.237,-105.0,0.0147
UNCL,3.0,0.0020594359183040423,0.001,0.37472891050818835,0.136,0.09,-119.3,0.1
UNCR,3.0,0.0024863597522956117,0.001,0.35000128540126885,0.254,0.215,-127.6,0.0198
VOFL,3.0,0.004035120803346176,0.001,0.26766642423919884,0.32,0.284,-114.1,0.00753
VOFR,3.0,0.004325128444224745,0.001,0.2637854006867073,0.409,0.378,-119.3,0.0018
pAFL,3.0,0.0051467782675864646,0.002,0.1952745371159333,0.367,0.333,-108.2,0.00363
pAFR,3.0,0.004397785642683189,0.002,0.2319723185488619,0.303,0.266,-108.8,0.00976
