Tract,r_WM,p_WM,r2_WM,r_GM,p_GM,r2_GM
AFL,0.7042806343265545,3.263892488016056e-42,0.496011211887414,0.8024770766677567,1.014541954421801e-62,0.6439694585772286
AFR,0.7027268531581841,5.880208429528682e-42,0.493825030149604,0.7754255762561013,4.833601280978868e-56,0.6012848243121068
ATRL,0.8146814163273606,4.402895974254425e-66,0.6637058101091542,0.6799336486943884,2.1770240647508512e-38,0.462309766626864
ATRR,0.8173923054225953,7.294052049451514e-67,0.6681301809640654,0.6153715159591074,7.715669237087724e-30,0.37868210265381
CCL,0.6894295074577084,7.785959729421538e-40,0.47531304575337835,0.7968867285004019,2.9433603043189637e-61,0.6350284580600732
CCR,0.6331422032451253,5.437574054622713e-32,0.4008690495300915,0.7280453082979388,2.423817112451803e-46,0.5300499709346408
CSL,0.877853072780086,1.2442101905259774e-88,0.7706260173894389,0.8416367390555877,1.7684450475966226e-74,0.7083524005281233
CSR,0.8671268631108418,5.202851058707069e-84,0.7519089967284485,0.8188637015113038,2.7147499294241165e-67,0.6705377616527937
FcMi,0.7370574047884078,5.03737437346431e-48,0.5432536179534228,0.6238134418704567,7.626529023981168e-31,0.3891432102582657
FcMa,0.7761492754077506,3.295417045099086e-56,0.6024076977159762,0.6647634163225968,3.457670669559319e-36,0.4419103996808902
IFOFL,0.8247274135672787,4.825856709445089e-69,0.6801753066893732,0.7171633478176733,2.1281686027897144e-44,0.5143232674530531
IFOFR,0.8408170673139244,3.3543856982746916e-74,0.7069733406863884,0.7023551183580268,6.76568079654833e-42,0.4933027122837178
ILFL,0.8007412387495825,2.92005223698306e-62,0.6411865314342159,0.7502539342935376,1.2878980348314912e-50,0.5628809659229318
ILFR,0.8159855500532938,1.8609828545207808e-66,0.6658324178957764,0.7352021184632288,1.1328071747494401e-47,0.5405221549928195
MLFL,0.8007485681242117,2.9071108458861547e-62,0.6411982693529753,0.747864953449488,3.90036063808123e-50,0.5593019885980048
MLFR,0.82316172735869,1.4361958749520698e-68,0.6775952293881422,0.74242651238547,4.641444701200128e-49,0.5511971262928524
ORL,0.816223795655286,1.588904078659969e-66,0.6662212845939222,0.6771805728858271,5.585886081137798e-38,0.458573528293977
ORR,0.8132156566414515,1.1496712285027295e-65,0.6613197042067871,0.6926836450437622,2.4137438427484444e-40,0.4798106321111128
SLFL,0.7585711413849952,2.4603599928670498e-52,0.5754301765421344,0.8140991477738939,6.453077754729462e-66,0.6627574224061804
SLFR,0.7551199524391421,1.2960015635638166e-51,0.5702061425716922,0.807623206474022,4.147743230004934e-64,0.6522552436353807
UNCL,0.8319793612579309,2.6706213956395072e-71,0.6921896575591547,0.7864653645430754,1.1929611550853236e-58,0.6185277696258724
UNCR,0.8566697055662726,7.063333303078316e-80,0.7338829844350042,0.7547037398497307,1.5805927089597317e-51,0.56957773494317
VOFL,0.7243863995367792,1.1178394394471272e-45,0.5247356558338583,0.6487266571866397,5.362874572811832e-34,0.4208462757445519
VOFR,0.7404298147749835,1.1343673441331544e-48,0.5482363106077164,0.6872321049352804,1.7020986581404695e-39,0.47228796605377626
pAFL,0.6850322178601531,3.6985880765970006e-39,0.46926913950640026,0.7189947370863224,1.0171022301630311e-44,0.51695343195783
pAFR,0.6789110689136562,3.0930417654374553e-38,0.46092023949348315,0.7187185413252403,1.137325025519603e-44,0.5165563416446811
